view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,rng_seed,task_type,session_file_id
"[{'page_index': 0, 'viewing_time': 25524}]",25525,instructions,0,25533,0.0-0.0,anon_subject_99,659f04805339f753c1b65235,65a03f1b2086d07cc8439990,0.4012160519488479,instructions,session-65a03f992592a
"[{'page_index': 0, 'viewing_time': 17339}]",17339,instructions,0,17342,0.0-0.0,anon_subject_147,659f04805339f753c1b65235,65a0474b214275fb72e5c476,0.5543104442078839,instructions,session-65a047f7133d3
"[{'page_index': 0, 'viewing_time': 14948}]",14948,instructions,0,14950,0.0-0.0,anon_subject_80,659f04805339f753c1b65235,65a047592a197f9cd83e42bd,0.2088060979110371,instructions,session-65a0480195874
"[{'page_index': 0, 'viewing_time': 24378}]",24379,instructions,0,24387,0.0-0.0,anon_subject_232,659f04805339f753c1b65235,65a03f2e10105f4dafafac4e,0.060988430879561406,instructions,session-65a040d028e4f
"[{'page_index': 0, 'viewing_time': 12307}]",12307,instructions,0,12310,0.0-0.0,anon_subject_130,659f04805339f753c1b65235,65a05a8d3e71fc9f72cd986b,0.03878543209658214,instructions,session-65a05b3f16bec
"[{'page_index': 0, 'viewing_time': 47889}]",47889,instructions,0,47902,0.0-0.0,anon_subject_206,659f04805339f753c1b65235,65a05a7915917193ea8a6a97,0.4894952541752151,instructions,session-65a05b99b101a
"[{'page_index': 0, 'viewing_time': 302565}]",302566,instructions,0,302570,0.0-0.0,anon_subject_72,659f04805339f753c1b65235,65a05bcdf51e8f6fd7a748ab,0.1638616917487805,instructions,session-65a06045248d1
"[{'page_index': 0, 'viewing_time': 23280}]",23280,instructions,0,23283,0.0-0.0,anon_subject_64,659f04805339f753c1b65235,65a03f1d2526f0c2765ca3b5,0.8413572211385306,instructions,session-65a03fbe0b18d
"[{'page_index': 0, 'viewing_time': 22300}]",22300,instructions,0,22303,0.0-0.0,anon_subject_87,659f04805339f753c1b65235,65a05a63bdc3fb4b929b336a,0.7899975963684935,instructions,session-65a05ae8ce414
"[{'page_index': 0, 'viewing_time': 9550}]",9550,instructions,0,9560,0.0-0.0,anon_subject_189,659f04805339f753c1b65235,65a03f6e54a913c61d77546c,0.19647620085082806,instructions,session-65a03fd4d2dd9
"[{'page_index': 0, 'viewing_time': 9983}]",9983,instructions,0,9984,0.0-0.0,anon_subject_76,659f04805339f753c1b65235,65a05a8a158e1166c55f53da,0.8370301479934656,instructions,session-65a05af41e709
"[{'page_index': 0, 'viewing_time': 19251}]",19252,instructions,0,19260,0.0-0.0,anon_subject_6,659f04805339f753c1b65235,65a0479f51ab53c1d1265a74,0.16846880399320896,instructions,session-65a0483c77ac6
"[{'page_index': 0, 'viewing_time': 119469}]",119472,instructions,0,119486,0.0-0.0,anon_subject_78,659f04805339f753c1b65235,65a05cb02c73291ebb384a81,0.35517556858883803,instructions,session-65a05ef3dc596
"[{'page_index': 0, 'viewing_time': 33747}]",33747,instructions,0,33752,0.0-0.0,anon_subject_16,659f04805339f753c1b65235,65a0479885d169d8295bf77b,0.6339271940314204,instructions,session-65a0482121c69
